output,msg
feedback,"Dark Pursuit, a #pnr #holiday story is on sale for #99cents! https://t.co/MFxZ7YCtIi https://t.co/QvS7EUtktI"
feedback,@drmadiwr PNR No -2720271036
feedback,It's important to remember the EU isn't only a progressive force - have a look at these EU data collection and shar… https://t.co/iFuM2tyePs
feedback,@rpfwrbct @rpfwr1 @RailMinIndia @Deshbhakth1 @rpfchurchgate @rpfmumbcenlocal @rpfdadar2 @RPFAndheri @rpfborivali1… https://t.co/OlzONbm5Bo
feedback,"RT @IndiaBTL: Glad to inform &amp; confirmed from multiple sources, the newspaper was not distributed by railways officially, but cou…"
emergency,@irctceastzone @RailMinIndia Nothing happened yet I didn't receive any call and I am about to reach my destination… https://t.co/YYwYp6v1cm
emergency,@RailMinIndia PNR no 2816590786 &amp; 2815712288  one  S5 35 allotted  for two persons
feedback,"@RailMinIndia @mohitbansal660 @RpfNwr Sir, kindly share your contact number with journey details and specify place… https://t.co/JVJMorksgY"
emergency,"@RailMinIndia train 13288 is delayed by 3 hours, but NTES is showing its on time and has reached."
feedback,"@SRDMERTM @RatlamDRM @RailMinIndia @IR_ENHM No one has attended at COR , now we are about to reach kota, now the co… https://t.co/9Z5CTznuCd"
emergency,"@DRMbhopal @RailMinIndia @BhusavalDivn Train departed from itarsi but concerned is delay, what if I miss flight due… https://t.co/UyQIYzIFcJ"
feedback,"@RailMinIndia @drmdelhi dear sir Kisan express 14519 regularly late arrived at Hisar, complaint  or tweeted so many… https://t.co/DDcrzPRWq8"
feedback,@WesternRly @DRMBRCWR @drmbct @RailMinIndia @PiyushGoyalOffc @PiyushGoyal We want passanger train between bharuch t… https://t.co/tEBXrWdYha
feedback,@vikaskh05172507 @Naren_Reddy23 @leomanojc @SayNoToHindi @mnsadhikrut @abpmajhatv @anilshidore @RailMinIndia… https://t.co/bACOZnpAQi
feedback,"@IRCTC_Ltd @RailMinIndia @PiyushGoyalOffc  it's your habit to make crowd, dhkka mukki for tickets"
feedback,"RT @LisaCBooks: Dark Pursuit, a #pnr #holiday story is on sale for #99cents! https://t.co/MFxZ7YCtIi https://t.co/QvS7EUtktI"
feedback,RT @IndiaBTL: Why is @RailMinIndia procuring Congress mouthpiece National Herald (priced a hefty Rs. 20/piece) &amp; providing it to…
feedback,@RailMinIndia Announcement done !!!
emergency,@RailMinIndia AC is not working properly in A3 coach in train no 12295 currently it is near jabalpur
feedback,@RailMinIndia @Siriusblack1213 @drmncrald @rpfncrald  kindly look this matter into necessary action NCR-1536
feedback,@drm_apdj @RailMinIndia 12378 really shameful almost after 1 he train has departed from source and in 1st tweet tra… https://t.co/lPUA5R1kqf
feedback,RT @IndiaBTL: Why is @RailMinIndia procuring Congress mouthpiece National Herald (priced a hefty Rs. 20/piece) &amp; providing it to…
feedback,RT @DOTrPH: READ: Construction of Manila-Clark Railway project to start soon. The contract for the construction supervision and…
feedback,"@RailMinIndia @Sivaram15064430 Inconvenience regretted, matter is being taken up for further necessary action"
feedback,"RT @stevensgreen1: Petition all you like, if @FineGael continually cut PSO @IrishRail and under invest in public transport the travell…"
feedback,@RailMinIndia @mohitbansal660 @NRRPF Comp No. 437 matter forwarded to @rpfnwrbkn look into this matter &amp;  kindly pr… https://t.co/dN8IuA9Shf
feedback,"@Uttambanerjee10  Kindly share PNR number, issue forwarded to concerned officials @ed_eeg @Drmnfr_lmg @Drmvijayawada"
emergency, @EasternRailway The train 63142 has stopped due to engine breakdown since last 2hrs. Creating long ag… https://t.co/o65KN5DOGs
feedback,https://t.co/f27P3FSDcJ @PMOIndia @narendramodi
feedback,@kiran_k28 @RailMinIndia matter forwarded to concerned @mechbpl
feedback,"RT @DOTrPH: ATM : Contract signing for construction of PNR Clark Phase 1 (Tutuban-Malolos) project bet. DOTr, NSTren Consortium https://t.c…"
feedback,@RailMinIndia @KaliaAjit @IR_ENHM Pls look into the matter @AmbalaCnW
feedback,@RailMinIndia pls see how the train at #Kerala delayed. 12696 TVC MAS SF (schde6.30 pm Kollam) arrived station at 6… https://t.co/HOTOG8HuwO
feedback,RT @VisakhapatnamJn: @SrDOMhyb @jijjuu @drmhyb @FeaYogesh @UttamChakram @Venkati5 @RailMinIndia @SCRailwayIndia @asb_ambati @eswarkanchu…
feedback,@IRCTC_Ltd @RailMinIndia Check pics of railway failure https://t.co/trUCYQyBzM
feedback,@RailMinIndia @nerailwaygkp train no. 12492 is delayed by more than 2 hr in between of Burwal junction to Gonda junction.
feedback,"@RailMinIndia Sachkhand express (12715) late by 7+ hours. Just buying Japanese trains won't help, IR should learn f… https://t.co/4x33yIQDxL"
feedback,RT @ErGKSWAMY1: @seevivekhere Ask them to join @airef_official  under the dynamic leadership of @AirefPr @airef1234 and fight for j…
emergency,@RailMinIndia An aged lady has been alloted upper berth in train no. 22911. PNR no. 8553362063. Kindly see if any modifications possible.
feedback,So this is what India railways looks like. Can't get any better !! @IRCTC_Ltd @IndianRailMedia @RailMinIndia… https://t.co/BKKYAL68oY
feedback,"RT @IndiaBTL: Glad to inform &amp; confirmed from multiple sources, the newspaper was not distributed by railways officially, but cou…"
feedback,@RailMinIndia Cant justify This Station Approval? The distance is only 2 kms! this place is reserved 4 MentalHospit… https://t.co/XNELV33iNo
feedback,@vikaskh05172507 @SirDebasis @Naren_Reddy23 @SayNoToHindi @mnsadhikrut @abpmajhatv @anilshidore @RailMinIndia… https://t.co/s4vTuMhTIo
emergency,@drmsbc @RailMinIndia @srdensbc sir what is the update who has reviewed as  I do not see any action taken pl visit n take action
emergency,@RailMinIndia no one responding on phone call at enquiry in jamalpur station. Please consider my complaint because… https://t.co/PZGqiiUpil
emergency,@DRMbhopal An aged lady has been alloted upper berth in 22911. PNR no. 8553362063. Kindly see if any modifications possible.
emergency,@RailMinIndia @RailwayNorthern @ECRlyHJP plz help me coach position of train no 19321 of coach A1 at Jaunpur Jn .
feedback,@RailMinIndia Everyday magadh exp 12401 running late 3to 5 hrs without any reson.  Is anyome have responsibility. P… https://t.co/UzZYQoVuCh
feedback,@drmumb @RailMinIndia @KaliaAjit @IR_ENHM Sir message given to SSE/UMB and matter forwarded to @SrDmeChg_Dli @DelhiCcc
feedback,@drmadiwr @RailMinIndia @PiyushGoyal @IRCTC_Ltd Train last 2-3 coach
emergency," PNR-2337792679 Trn:12802 Dt:02-12-2017 Frm MGS to CTC Cls:3A P1-B1,54 Sir I lost my shoes.may be some one stolen"
feedback,14316 TTE comes only after hapur stn when majority of ticketless passengers have deboarded. It's useless to buy tic… https://t.co/aNSeZwgOwT
feedback,@RailMinIndia @khushalvakharia That’s poor railways.poor very poor.
emergency,@DRMbhopal @RailMinIndia @BhusavalDivn Could u all confirm at what time train will be reaching mumbai? @PiyushGoyal… https://t.co/Ko6SMCV4My
feedback,"@IRCTC_Ltd @RailMinIndia @PiyushGoyalOffc If your clerk can give tickets than why he is not giving, why u advertisi… https://t.co/teieqXvILl"
feedback,@SirDebasis @Naren_Reddy23 @leomanojc @SayNoToHindi @mnsadhikrut @abpmajhatv @anilshidore @RailMinIndia… https://t.co/Rupv5ynCuH
feedback,"@sanjaygupta2012 @DRMbhopal @RailMinIndia sorry for inconvenience,matter noted to @OPTGBSL"
feedback,@RailMinIndia @khushalvakharia Poor service by railways.
feedback,"@RailMinIndia @sanjaygupta2012 Train handled over late by more than 6 hours from previous division, @drmjabalpur @drmncrald  kindly update."
feedback,@RailMinIndia @pavansonidegana Inconvenience caused is regretted. This facility is provided on platform number one… https://t.co/JUeRotn6C0
feedback,"@bbiswajit88 @RailMinIndia Sorry,  the tweet received from @RailMinIndia doesn't contain your complaint."
feedback,@RailMinIndia  update:- today intercity 12930 late 16 min?
feedback,@PiyushGoyal @nerailwaygkp @gmner_gkp @RailMinIndia @AshwaniLohani @mourya_369 @PMOIndia @CVCIndia @PiyushGoyalOffc… https://t.co/CTT9s3MAk3
feedback,@SirDebasis @vikaskh05172507 @Naren_Reddy23 @SayNoToHindi @mnsadhikrut @abpmajhatv @anilshidore @RailMinIndia… https://t.co/cImqnkJTwC
feedback,@RailMinIndia @irctceastzone 6506401270
feedback,@RailMinIndia @DRMBRCWR Maximum train stoppage in bharuch.. We want also stoppage of more train in evening time.. A… https://t.co/p5Ispx8g3R
feedback,RT @IndiaBTL: Why is @RailMinIndia procuring Congress mouthpiece National Herald (priced a hefty Rs. 20/piece) &amp; providing it to…
feedback,"RT @RailMinIndia: All commodities have registered robust growth with steel at 16%, cement 10%, containers 13%, iron ore 5% and coal 2…"
feedback,@rpfcrsur @RailMinIndia how many months or should i say years should i wait for the Conscience of #CORRUPT #ROTTEN… https://t.co/2h0v7KWzgy
feedback,"@IRCTC_Ltd @RailMinIndia @PiyushGoyalOffc Ppls r in queue for tickets without any time limit, because your trains getting late and late"
feedback,@SirDebasis @SayNoToHindi @mnsadhikrut @abpmajhatv @anilshidore @RailMinIndia @Central_Railway Pure bullshit..
feedback,"@sanjaygupta2012 @DRMbhopal @RailMinIndia @PiyushGoyal sorry for inconvenience ,matter noted @IRCTC_Ltd"
feedback,RT @sureshpprabhu: https://t.co/06uwLS5m7J
feedback,RT @sureshpprabhu: Holistic strategy to ensure growth https://t.co/YpOs5ZShmF
feedback,This is what #Swachbharat looks like https://t.co/npKnxGqOyP
feedback,@RailMinIndia PNR NO. 6107451949
emergency,@RailMinIndia @Sivaram15064430 @irctcwestzone Sir I want some action not just tweet for fomalty o want improve my r… https://t.co/f3JprtwXze
feedback,RT @sureshpprabhu: Holistic strategy to ensure growth https://t.co/YpOs5ZShmF
feedback,#amreading #urbanfantasy #uf #ufart #urbanfantasyart #magic #booksaremagic #amreading #pnr #paranormalromance… https://t.co/0PLQ8FCV7a
feedback,@vikaskh05172507 @SirDebasis @Naren_Reddy23 @SayNoToHindi @mnsadhikrut @abpmajhatv @anilshidore @RailMinIndia… https://t.co/SH1DzBApOg
feedback,@RailMinIndia @BannaDipaksa SSE Telecom at MSH will be send tomorrow  dt 03/12/2017.
feedback,RT @MaheshLPatil4: @ACMBCT2 @savehitesh @drmbct @DVPravasi @RailMinIndia @WesternRly @PiyushGoyal @PMOIndia @narendramodi @srdombct De… 
feedback,@pisecianpisces @rpfbharuch @rpfwrbrc @RailMinIndia @DRMBRCWR @rpfankaleshwar Kindly look into this matter @rpfwrbrc
feedback,"RT @Mandarmodak: Noise pollution does not mean 'Only Loud Sound'

Continuous, unnecessary, effectless announcements &amp; undesired irri… "
feedback,#Win $50 Amazon #BookTour #Giveaway #BookBoost #Paranormal #Romance #Wolf #Shifter #PNR #EmiliaHartley https://t.co/mCGb3SdXGn
feedback,@RailMinIndia when train number 22481 is coming at 8.50 am so why train number 22482 is late by 2.15 hours https://t.co/y17VHb8J4A
feedback,@RailMinIndia @DevKuma35104438 @IR_ENHM Kindly share your correct PNR for further action.
feedback,@arpiturfrnd      Kindly share PNR number for further action.   @Drmdelhi @IR_ENHM
emergency,"@RailMinIndia 
We r travelling in train no. 22634 from delhi to UDUPi.....There is no liquid shop available in the train...In ha 1 coach...."
feedback,"RT @KonkanRailway: ""Alert Rly Man is the best safety device""

Gate Man Sh Avinash Kothare takes timely action. Stops approaching train… "
feedback,"@DrmChennai @RailMinIndia In Bangalore  no charges  .
Any circulars  from Railway  ministry. 
Attach"
feedback,Pantry manager has promised to look into the matter. Hope this never continues. Thanks for the help. https://t.co/juH2XstguW
feedback,RT @RailMinIndia: Ministry of Railways launched 1ST Swarna Rajdhani ( Train no 12314 New Delhi- Sealdah Rajdhani) rake today.A Major… 
feedback,@Parsikpravasi @BeyondThane @RailMinIndia @rajtoday @Akkibhatkar @Shrikant2025 @ThaneMt @thane_now @MumbraKiAwaam… https://t.co/HPBRxagjsr
feedback,RT @IndiaBTL: Why is @RailMinIndia procuring Congress mouthpiece National Herald (priced a hefty Rs. 20/piece) &amp; providing it to… 
feedback,@Maths_Expert @ankulaagarwal @drmbct @RailMinIndia @IR_EDMECHG @crsechgsrly @CCRBCT @srdmebct YES
feedback,@mistuni  Kindly share PNR number. Matter forwarded to the concerned officials @Drmwat_ecor @IR_ENHM @IR_EDMECHG @crseecor17
feedback,"@RailMinIndia @SCRailwayIndia Sir, Sri Mohd. JAMSHED MT, @AshwaniLohani Sri P.GUHA PRINCIPAL ED(Coachg) 🙏 KINDLY RE… https://t.co/MMlMoPJsmA"
emergency,"@AirAsiaSupport I am scheduled to fly to CCU from KL tomorrow (PNR WERKXB), got an email saying my flight has been… https://t.co/tx0F2YEthX"
feedback,RT @BPShourya: It's true and strict action should be taken against ppl doing so. Few months back @RailMinIndia had issued rate lis… 
feedback,RT @mmalavec: #Win $50 Amazon #BookTour #Giveaway #BookBoost #Paranormal #Romance #Wolf #Shifter #PNR #EmiliaHartley https://t.co/mCGb3SdXGn
feedback,@RailMinIndia Sir this one is the detail...... https://t.co/AQJ6C3qg9g
feedback,"@IRCTC_Ltd @RailMinIndia @PiyushGoyal if my ticket remains RAC even after chart is prepared, then isn't logically w… https://t.co/k2pui7f6wl"
feedback,RT @TheRealDharmu: @razzaqlucky @MDARIFAZIZ1 @rafeliberty @PiyushGoyal @SCRailwayIndia @drmned @RailMinIndia Is any action taken or ju… 
feedback,"#IncredibleIndia In Journey tym of 12 hrs, trn is running late by almost same tym. Leads to frustration whn v don't… https://t.co/D8fQiwy8IG"
feedback,RT @IAmKalpeshBohra: @rpfwrbct @rpfwr1 @kalpeshcynic @RPFMumbaiCntrl @RailMinIndia @MCGM_BMC @GM_CRly @Gmwrly @drmbct @drmmumbaicr… 
feedback,"RT @eswarkanchu: @RailMinIndia @SCRailwayIndia Sir, Sri Mohd. JAMSHED MT, @AshwaniLohani Sri P.GUHA PRINCIPAL ED(Coachg) 🙏 KINDLY RE… "
feedback,RT @IndiaBTL: Why is @RailMinIndia procuring Congress mouthpiece National Herald (priced a hefty Rs. 20/piece) &amp; providing it to… 
feedback,@beatablitz Awesome... posted your tweet up here https://t.co/tkAGqzTxzu
feedback,@RailMinIndia @mistuni @IR_ENHM @IR_EDMECHG @crseecor17 Officials concerned communicated about the issue @srdmewat
feedback,"Mischief Bundle - #KindleCountdown Sale $1.99
3 Story Bundle - F/F+ &amp; M/F PNR Erotica 
#Erotica #Booklovers #LPRTG… https://t.co/wghZsGZszU"
feedback,"@vivek05102229  Kindly share PNR &amp; contact number, issue referred to concerned official @Drmjabalpur for urgent medical assistance."
feedback,RT @IndiaBTL: Why is @RailMinIndia procuring Congress mouthpiece National Herald (priced a hefty Rs. 20/piece) &amp; providing it to… 
feedback,@drmdelhi @RailMinIndia @srdomchgdli No reply..
feedback,@DrmChennai @RailMinIndia It is not applicable in other xonal Railway
feedback,@atulyendepatil @TajinderBagga https://t.co/e69QtW6PvK
feedback,@abhi795 Kindly share PNR for better assistance. Kindly look into it @IRCATERING @DrmKota @ed_eeg @Drmbct
emergency,You let me in trouble @RailMinIndia my train got cancelled without any information...my journey is stuck in between… https://t.co/PCHxmHOmsf
feedback,RT @IndiaBTL: Why is @RailMinIndia procuring Congress mouthpiece National Herald (priced a hefty Rs. 20/piece) &amp; providing it to… 
feedback,@SrDmeChg_Dli @drmdelhi @RailMinIndia @drkumarsambhav @IR_ENHM kindly share your PNR NO.
feedback,@RailMinIndia @vivek05102229 Kindly share PNR number &amp; contact number.
emergency,@RailMinIndia I have a booking in Train Number 07006 RXL-HYB special from Gaya but when I want to see the current s… https://t.co/iI4vB2JJ8S
feedback,"@drmdelhi @RailMinIndia @IR_EDMECHG @CRSE_CHG_NR @SrDMEdelhi The changed, passenger centric face of Railways is vis… https://t.co/zf1mcUloA3"
feedback,@manojsinhabjp https://t.co/7qbVSFwgdF
feedback,@RailMinIndia @RahmanAnsariBOI @drmlko25 Kindly look into this
feedback,@Arunkum01848073 @ccmsrly @SalemDRM @TNRA_RailNews @vanandca @pgt122123 @propgt14 @sivamohan1917 @drmmadurai… https://t.co/U44jE0TeKK
feedback,@RailMinIndia @at_agentofchaos @IR_ENHM Matter notified to the concerned officials @LTTOBHS1 @srdmecmumbaicr
feedback,RT @RailMinIndia: @anshumantiwar10  Please share your PNR no.
feedback,"@drmadiwr @rahuljaincool @RailMinIndia @PiyushGoyal @IRCTC_Ltd please call 182,train no.,mob.no."
emergency,"Pnr number is - 2336968546
Seat no s4-53 train no - 12558
My wife is suffering from migraine kindly help us

Thank you
Subodh chandra"
emergency,"@RailMinIndia 
Train number 22634 no liquid soap available in HA1 coach since beginning of train..When contacted attender he said no supply"
feedback,@SARAUNKUMAR @Arunkum01848073 @ccmsrly @TNRA_RailNews @vanandca @pgt122123 @propgt14 @sivamohan1917 @drmmadurai… https://t.co/Tl0JpHbUPR
feedback,"RT @julidrevezzo: PASSION'S SACRED DANCE https://t.co/u0fVehMsGu 
#paperback https://t.co/9QvromDe6J
#discount #99cents #paperback… "
feedback,"RT @eswarkanchu: @RailMinIndia @SCRailwayIndia Sir, Sri Mohd. JAMSHED MT, @AshwaniLohani Sri P.GUHA PRINCIPAL ED(Coachg) 🙏 KINDLY RE… "
feedback,RT @RailMinIndia: Passenger traffic has also shown significant growth in Reserved &amp; suburban segments.Over  5Cr additional passengers… 
feedback,@drmadiwr @rahuljaincool @RailMinIndia @PiyushGoyal @IRCTC_Ltd @rpfahmedabad
feedback,@IAmKalpeshBohra @rpfwrbct @rpfwr1 @kalpeshcynic @RPFMumbaiCntrl @RailMinIndia @MCGM_BMC @GM_CRly @Gmwrly @drmbct… https://t.co/mibIcxTnuX
feedback,RT @TarunUpasani: @RailMinIndia Common scene at varanasi railway station. https://t.co/uTXE4ooe2a
feedback,@WesternRly @Central_Railway #MumbaiSuburbanLocal still issuing Paper Ticket Monthly Season Pass. It could be bette… https://t.co/e8HlmJsu9K
feedback,RT @IndiaBTL: Why is @RailMinIndia procuring Congress mouthpiece National Herald (priced a hefty Rs. 20/piece) &amp; providing it to… 
feedback,@mumbairailusers @mumbairailusers @drmbct @RailMinIndia the track from rammandir station towards Borivali seems to… https://t.co/RSW6CpkJKK
feedback,"@RailMinIndia @Saket_Kumar_Mdb @drmdelhi Dear Sir ,Daily passengr of Sandila are disturbed becouse mostly trains are cancilled."
feedback,"@RailMinIndia
 
My PNR 2339665491and my train no 12225 waiting not clear then why my Mony not refund plz suggest AAP log kitna lootoge hume"
feedback,"RT @jmbauhaus: While we're all waiting for me to finish Bound Spirits, have a look back at where this all began. #pnr https://t.co/4vFI276g…"
feedback,@RailMinIndia From KANPUR there is no train is moved for Jhansi So much crowds is in train 12591 Railway cn increas… https://t.co/gfsglALAM0
feedback,@Snsb2Gupta @RailMinIndia Liquid shop?
feedback,why CONgress mouthpiece &amp; CONgi propaganda tool used in Railways?.. what is cooking?. cc @narendramodi @AmitShah… https://t.co/Hj7QS9hM0G
feedback,"@RailMinIndia @drmjabalpur Pnr no.  223-4947836
 phone number 9987082385 

B1 52"
feedback,@PiyushGoyalOffc #Rajasthan#Train chalowo Movement @PiyushGoyal people are Await your action on new train demand… https://t.co/G05JhpSyMJ
feedback,RT @Trip3263: @drmbsbner @srdombsbner  @railminindia Greetings! Kindly make 75106 to move from BSB and run smoothly to it's desti… 
feedback,@RailMinIndia @arpiturfrnd @IR_ENHM matter is fwd to the @srdomchgdli
feedback,@RailMinIndia Thanks for rectifying my problem
feedback,@sunildhiman6 @drmncrald @PiyushGoyal @RailMinIndia @SrDOM_ALD @ncrccmcnps
feedback,Win Up To $400 In Giftcards From Your Favorite PNR Authors! https://t.co/f9Kouu13Q0 via @LVVampireNovels
feedback,@RailMinIndia @srivastavag86 matter is fwd to the @srdomchgdli
feedback,@RailMinIndia @DeepSaxena20 For standard meal charges visit https://t.co/049vQ8wTW0 &amp;: https://t.co/cNuTXHLJh0 for A la carte rate list.
feedback,@irctcnorthzone @IRCATERING @RailMinIndia @PiyushGoyal @IRCTC_Ltd I regularly travel in thins train. Ensure that I… https://t.co/qC3lpSqQqq
feedback,@nidhichoudhari https://t.co/jVGtHDpxa8
emergency,"@IRCTC_Ltd @PiyushGoyal @PiyushGoyalOffc -PNR-6108515339
Trn:18645, P1-A1,28,Name - Atulit Modi. Need doctor asap. High fever and body pain."
feedback,"@drmncrald @RailMinIndia @Vipul_Agrawal1 TRAIN COR has been informed to take necessary action, inconvenience is regretted."
emergency,@sunildhiman6 @drmncrald @PiyushGoyal @RailMinIndia @SrDOM_ALD @ncrccmcnps for urgent necessary action
feedback,"@drmmumbaicr @RailMinIndia @Central_Railway 
 How many minutes is late at 7:21PM CST fast local at Dombivli station."
emergency,@sureshpprabhu @IRCTC_Ltd @NaMo_India - My friend is unable to book the retiring room at Bareilly (BE). Officials a… https://t.co/O0nJyoPf3y
feedback,"@drmjabalpur @RailMinIndia Pnr no. 223-4947836

Phn no. 9987082385"
feedback,#ParanormalRomance #Giveaway – #WIN 3 #PNR Novels! #FREEbooks #bookaddict https://t.co/pRAOXSWlFr via @
feedback,RT @kalpeshcynic: @IAmKalpeshBohra @RPFMumbaiCntrl @rpfwrbct @rpfwr1 @RailMinIndia @MCGM_BMC @GM_CRly @Gmwrly @drmbct @drmmumbaicr… 
feedback,"RT @jmbauhaus: While we're all waiting for me to finish Bound Spirits, have a look back at where this all began. #pnr https://t.co/4vFI276g…"
feedback,@PMOIndia Is it important for Govt of India to buy this junk and enrich Sonia Gandhi? https://t.co/weLVlfHgh1
emergency,"@RailMinIndia @Drmljn Please help, they r frightening and I will feel unsafe till I reach home safely. Thank you fo… https://t.co/6jJinsqUcD"
feedback,RT @IAmKalpeshBohra: @RPFMumbaiCntrl @rpfwrbct @rpfwr1 @RailMinIndia @MCGM_BMC @GM_CRly @Gmwrly @drmbct @drmmumbaicr @srdommumbaicr… 
feedback,@gulshanm2000  Kindly share PNR number. Matter forwarded to the concerned officials  @Drmlko25 @IR_EDMECHG @CRSE_CHG_NR
feedback,RT @NaveenAjmer: @irctcnorthzone @IRCATERING @RailMinIndia @PiyushGoyal @IRCTC_Ltd I regularly travel in thins train. Ensure that I… 
feedback,"@RailMinIndia Yes, this is good and more such inspections needed to upgrade quality services."
feedback,@RailMinIndia Problem solved thank u
emergency,"@RailMinIndia Sir
The train is still away from all jn at prayag plz do something passengers are stranded train no 15159"
feedback,"@manojjnsoni @RailMinIndia sorry for inconvenience,matter noted con.staff"
emergency,@RailMinIndia traveling in 12863 with a year old kid no power in coach kid is crying please look into it pnr : 6405… https://t.co/0hUP2om4L1
feedback,@RailMinIndia @vivek05102229 Matter already received by on duty TTE &amp; notified to concerned official.
feedback,RT @IndiaBTL: Why is @RailMinIndia procuring Congress mouthpiece National Herald (priced a hefty Rs. 20/piece) &amp; providing it to… 
feedback,RT @IAmKalpeshBohra: @RPFMumbaiCntrl @rpfwrbct @rpfwr1 @RailMinIndia @MCGM_BMC @GM_CRly @Gmwrly @drmbct @drmmumbaicr @srdommumbaicr… 
feedback,"@drmwat_ecor @RailMinIndia @mistuni @IR_ENHM @IR_EDMECHG Sir, Informed Concerned to attend cleaning and watering."
feedback,@manojjnsoni @RailMinIndia matter noted to @sntbsl
feedback,RT @EmmaAlisyn: 11 holiday #pnr #romances for .99! Reg. $2.99. #free adult #ColoringBook with pre-order. https://t.co/MyWEMpoea9 https://t.…
feedback,#YoungAdult #ParanormalRomance Giveaway – #Win 2 #YA #PNR Novels! #FREEbooks #Twilight #HarryPotter https://t.co/BSp3zoea3C via @
feedback,RT @IndiaBTL: Why is @RailMinIndia procuring Congress mouthpiece National Herald (priced a hefty Rs. 20/piece) &amp; providing it to… 
feedback,@rachinagg @drm_raipur @RailMinIndia @PiyushGoyal @DRM Inconvenience regretted matter forwarded to IRCTC EAST ZONE for N/A.
feedback,"@sureshpprabhu @RailMinIndia 
Please improve your services in 2 AC coaches.Train no - 13429
My concern are here
Coa… https://t.co/7Hdp8vuzQe"
feedback,"@IRCTC_Ltd @PiyushGoyal @PiyushGoyalOffc @IRCTC_Ltd @RailMinIndia -PNR 6108515339
Trn:18645,P1-A1,28,Name -Atulit M… https://t.co/Lc6wV3Y5OI"
feedback,@drmljn https://t.co/GTNmhidD43
feedback,@rpfwrbct @rpfwr1 @IAmKalpeshBohra @kalpeshcynic @RailMinIndia @MCGM_BMC @GM_CRly @Gmwrly @drmbct @drmmumbaicr… https://t.co/5E3fZWdY2c
feedback,@manojjnsoni @RailMinIndia matter notded to @sntbsl
feedback,@srivastavag86 @RailMinIndia Because of its rake share with Magadh express which has got delayed..incoming rake lef… https://t.co/DC4VrEwMCz
feedback,@rachinagg @DrmDnr @RailMinIndia @PiyushGoyal @DRM MATTER FORWARDED TO CONCERNED OFFICIALS @IRCTC_Ltd
feedback,RT @mywaltair: @RailMinIndia Sir we require two daily super fast express trains from vizag- chennai and vizag- benguluru city. Its… 
emergency,@RailMinIndia @PiyushGoyal PNR no 6108343549 chart prepared (RAC 31). But can't get seat no yet .how I will get seat no.
feedback,RT @IndiaBTL: Why is @RailMinIndia procuring Congress mouthpiece National Herald (priced a hefty Rs. 20/piece) &amp; providing it to… 
feedback,@manojsinhabjp @rgohainbjp @AshwaniLohani @crchaudharymos @gssjodhpur @MpColSRC @hariomrajsamand @ch_dharambir… https://t.co/dVrWoaHFQe
feedback,"@manojcossb @RailMinIndia @MeRahul28 Sir,
 Inconvenience regretted, matter is being forwarded to concern official f… https://t.co/PjHTB57OOX"
feedback,"RT @srdmewat: @drmwat_ecor @RailMinIndia @mistuni @IR_ENHM @IR_EDMECHG Sir, Informed Concerned to attend cleaning and watering."
emergency,@drmncrald @RailMinIndia @SrDOM_ALD Make arrangements for water supply immediately in this train in tundla
feedback,@RailSamachar @RailMinIndia @PMOIndia @narendramodi @PMOffice_India @TOIIndiaNews @BJP4India @nitin_gadkari @IR_CRB… https://t.co/MOH0ocGn56
feedback,"@RailMinIndia PNR-4438045013
Trn:16733
Dt:02-12-2017"
feedback,@RailMinIndia @at_agentofchaos Matter brought to notice of concerned official. @srdommumbaicr
feedback,RT @TSDStation: @rgohainbjp @drmbikaner @RahulKaswanMP @NWRailways @GMNWRailway @PiyushGoyal @nihalchandindia @narendramodi @NWREU… 
feedback,@RailMinIndia @drmlko25 @IR_EDMECHG @CRSE_CHG_NR PNR No: 2663322307
feedback,Shame on @RailMinIndia @IRCTC_Ltd @PMOIndia @PiyushGoyalOffc @PiyushGoyal @rajnathsingh #shame shame shame.........… https://t.co/lrfm8f1Tk1
feedback,"@PMOIndia @RailMinIndia I oppose any kind of expansion nd even Bullet Train, until u develop exisisting Railways.."
feedback,@RailMinIndia @drmwat_ecor @IR_ENHM @IR_EDMECHG @crseecor17 6107025663
feedback,RT @ManavendraSin19: Shame on @RailMinIndia @IRCTC_Ltd @PMOIndia @PiyushGoyalOffc @PiyushGoyal @rajnathsingh #shame shame shame.........… 
feedback,@RailMinIndia @abhi795 @IRCATERING @ed_eeg @drmbct please share your PNR for better assistance
feedback,@RailMinIndia @IRCATERING @drmkota @ed_eeg @drmbct PNR 2439615711
feedback,@DRMKhurdaroad @drmgnt @RailMinIndia @drmvijayawada @drmsbc @gmeastcoastrly @srdomkur @IRCTC_Ltd Worst travel exper… https://t.co/Bx3dn037Sj
feedback,"@RailMinIndia @rajesrivastava Sir,
 Inconvenience regretted. Kindly share your PNR no. for further investigation.
Regards,"
feedback,@SrDMEdelhi @drmdelhi @RailMinIndia @IR_EDMECHG @CRSE_CHG_NR @SRCDONDLS Thanks for your response
feedback,RT @TSDStation: @rgohainbjp @drmbikaner @RahulKaswanMP @NWRailways @GMNWRailway @PiyushGoyal @nihalchandindia @narendramodi @NWREU… 
feedback,RT @TheRealDharmu: @razzaqlucky @MDARIFAZIZ1 @rafeliberty @PiyushGoyal @SCRailwayIndia @drmned @RailMinIndia Is any action taken or ju… 
